id,name,business_type_id
1,Ресторан,1
2,Кафе,1
3,Кофейня,1
4,Бар,1
5,Бургерная,1
6,Пиццерия,1
7,Супермаркет,2
8,Одежда и обувь,2
9,Электроника,2
10,Книжный магазин,2
11,Аптека,2
12,Салон красоты,3
13,Медицинский центр,3
14,Спортивный клуб,3
15,Автомастерская,3
16,Юридические услуги,3
